ID,Is_Lead
VBENBARO,0.0338186551866541
CCMEWNKY,0.8516580762543203
VK3KGA9M,0.06752913405735834
TT8RPZVC,0.025471641125584824
SHQZEYTZ,0.022935123187269854
MZZAQMPT,0.08640046275670744
Y88TW36I,0.0852304918166924
3UGOAQNU,0.05490285585714392
VVUKMUJT,0.9915971620662032
9R363ZXS,0.15610782395371972
BLISM6JE,0.05829844966039684
CH8S7JK7,0.25610791625433066
EAHDPXEJ,0.8423946675537037
BNUK9PRF,0.3315928992833519
GP2PG6FJ,0.05632487605807921
WNQCSN8A,0.037476158590720295
32DN4YVZ,0.42848753651332644
GXAMDANM,0.053079257158556284
MXETLUP4,0.06772781910858233
MPXK6TVE,0.8375443728763218
LBSIME2K,0.16359619073111353
D6ORJTM6,0.06099523879390837
HGDIBAKA,0.8081507083318649
UUZYL9DZ,0.4016348062149793
AUGE3VWK,0.06216112591515924
MX7GOX6Q,0.09482838666978176
TQN6K35W,0.05960083847147717
QQDRMQQN,0.48394421359286316
UP6GC6F4,0.05322543349711392
BMHBUVHB,0.5886480613842212
KGLDW86A,0.156751886570581
FQEOMOP4,0.10934926200150641
DYWM5MEU,0.17117060351650606
DXHGXV8F,0.054443282297351646
AVFBFQKC,0.1833107502197289
DBIDKYMV,0.13870128346095736
KYZHMEBY,0.20019134574279568
SSFEBUGF,0.05676285043649142
MGJTAG8X,0.4736499348219687
MP6BERDO,0.14024865159618344
GXZ8ED68,0.05781736141060353
ICTFGWQR,0.6593437248860555
EAYHTRKH,0.023512695607552536
6FN97QLQ,0.11479278836876845
3H5MZDDW,0.3768261176805338
2DXZZWSN,0.039736184217163045
MM4QIRE5,0.06817968366892775
HJWVYXUA,0.1651185209685623
RBRSJUP3,0.8220833577793204
YFRQKGXW,0.43926563432168153
N3SADEBV,0.07541382108060556
G2A2YYXY,0.03131318577062465
XMGA3WT3,0.0641330290688788
KVZQPSGI,0.1582187861240527
UAKARBBG,0.04317355612856008
WYKKL85Z,0.245119887916951
GHNYYGRR,0.0991797312752359
UBAJANWT,0.05248877729101919
LSARSF7U,0.018075396552723066
4CNSJVVR,0.23590630665040083
JRHJSWYO,0.3449467367499012
FHZ8SVVI,0.06778975390470741
JUIRE47M,0.8605430830126294
GDIVN2GL,0.06242813058327165
WMF3DYE3,0.7989828849388027
MAQEHEWK,0.16912853275263315
2W8DLKFU,0.054280123139893874
AKGRML6H,0.11791020507325115
B7WUUGCY,0.04481758767489874
TLJOYATM,0.4361585572919382
UH6ZDM3W,0.8612068081165977
7IP5SSRR,0.7715276402212438
PV85PMEB,0.4873719279673161
FGDOY4NI,0.09652703285412126
7YYIXJQE,0.06252411871447836
BHW42XPW,0.06013549749723692
3PKEEAT4,0.27313878180647516
ACFPZ3LM,0.056603296358432066
6GORGNYN,0.8251709002449191
AEPQTMJK,0.23291419801002372
S6FNZFKK,0.0561997322205867
JTYNEKRQ,0.6760685353305058
GPXDPHHC,0.059456571849587005
O8TMKNNB,0.059347756837612356
XSQVHKYG,0.053704417347386166
MJ3CZRAE,0.02211165723105243
3NSQEYBJ,0.4032700194582959
SXVBASGH,0.05458476442278975
5ZIGZYSS,0.0378888477054261
FQSHBCUT,0.3490538580584217
MU45XUBP,0.05452990107282143
BVULDPBI,0.05830095490966856
82GRNPFG,0.8251561003448789
KKBNELBF,0.05153665564289413
HXQGBDGY,0.04914041032879005
28HDZICG,0.5264823133327327
GHBPKPJC,0.05248877729101919
FDWZFSSC,0.8401342219390218
FWTIWZF3,0.05490285585714392
JYMHVPMY,0.03636444081999541
AHUDO2T6,0.8321421841462455
ACDHABS3,0.277981618808745
5NTYJJDV,0.07344870213219357
2M4VPY4V,0.08623433764388289
KAHP9XLF,0.08747070543278282
YRLEWZFQ,0.10270612131184659
JZWVLXHJ,0.18135468004643232
JZZSXUKT,0.33231380636820224
93RURE2J,0.8492092675015979
4RNB6FDV,0.26566697557505714
27E7HMMG,0.08423601369343972
2QEFQQWN,0.05275008328094754
DDTCD2XI,0.06765344952841976
VGVEYSEG,0.8193574001870837
WCXVE7RK,0.05196633044199613
RTN4R3UE,0.043672554014348365
K2PVS4RB,0.05028766025859793
Q36J686Z,0.0956280650053164
NWKHMEOF,0.14615052377639107
PVJYQQGT,0.26911358228076965
GPUMRNWC,0.0561997322205867
LXHCDSVH,0.168228254013614
BNIUPSVK,0.09015197990083239
FW3QI3WW,0.07216213959972786
IEEUGXMY,0.8664027950179098
FVVXDLBO,0.05952194876780763
UC2JJB6Y,0.07102887195862792
3WPAHP52,0.49470904241396474
HDTCJJOE,0.5098514532144546
UCSB9GKK,0.06553790401503846
HANBFYTH,0.12552245618616545
FLUU2HNV,0.05497575179577875
64PIYWDJ,0.2049987939771117
9AHNH8ZX,0.8569728756193125
KLHUI2SE,0.07595314750176876
YRHYUJFW,0.831917110382827
G5RWWH7F,0.20214639575703813
SCBT9BAX,0.02185350733888809
UGZGLVNB,0.24063961279545024
2RRNUFBV,0.8409314211061311
B6O59TEY,0.4339939320049283
CYHRRYH6,0.05903926003339487
GGYZVHWU,0.06425166275780915
K6AM97RN,0.06553790401503846
ATM5JQYM,0.07048260333081517
7GYZSGWA,0.050518661838875475
DFWUDQCR,0.16435020822830262
E2Z98CR3,0.8310953757625651
GD9KTSLY,0.05584137593666588
2AMRA4OD,0.09144534019597828
CFHZ3ZE6,0.48114473239875505
BOMLVM5K,0.05529060011363656
OBBEGBSY,0.4323715574781865
FJEHOK8W,0.03761499195147538
3GMAEVPJ,0.10843199667071794
WAVDLUTH,0.053043294896980425
6EN8GZX6,0.0979801100769582
VXGA3GKB,0.1633152059669453
U4MZ3U8C,0.5065100743060125
GU4RDP8S,0.8500666898479581
N3TPNHCD,0.09315193932726272
JRRHWQC8,0.6280707519214237
NZ5GBHZK,0.0408411614777916
LCUC2LAJ,0.8349304790736282
DJDSU9D2,0.9841301634687077
647K6DBR,0.06182477801297183
7NFXVESK,0.06612617178249168
EWUWF25N,0.055489525471837955
7QKYPLA8,0.054291854001939685
XQVXWBNO,0.056348778992114566
CNWH4MVA,0.055734002535231614
AFJUJFQD,0.06602531581372642
QKMFDX9H,0.1643831932498754
YYMB5QBY,0.07051974953283963
IRY3SEX7,0.2452075913924152
CUAUZJH8,0.19234156402230432
JYFUYQF5,0.3142079195846018
I4NYEDFE,0.52124888987208
M3RSPRGQ,0.14026322334668243
JIL3KWQN,0.11280001459974506
X4B5ZBWU,0.13090332754638795
AHYTHHSE,0.054148573817127704
E7EHQEQK,0.35061948502692336
FAMHAVN3,0.840851523704772
CCGKCTR6,0.06259878623682179
6DTSELRV,0.055506081971605864
LU8X3G6O,0.25601258367915847
NPFDAUJY,0.056160887106327814
DR9PXCFU,0.02133348376140697
SHVZMWBV,0.05605527140337008
8TGXGZHX,0.22705970884823345
IKRSHJFW,0.16961464545472452
TYKRZDCP,0.5136833676291331
9IDA3L7P,0.10466713400681671
ASOWCMDB,0.05468024998659691
KZ5J2JGC,0.841232416844029
D5UCFKTV,0.05335444148302949
2N8FFP7W,0.042514464757573395
SA36MTFS,0.05416191740158472
8UDMURUH,0.10654973728001621
7VSQV6QN,0.12525823208561182
IFUG9NC5,0.05181674761613446
EQXDLQRG,0.23285845702495322
JAR8YY9J,0.08191441623140035
BS4TAF6M,0.046728601905539346
WQJ9SPT9,0.8270566426207303
7QHT4ON2,0.05255064912602293
FNGPQN7B,0.11410467995901691
DDOMDZRU,0.6140197002452085
QYR9HXHP,0.11371860040933078
S4NGXFXY,0.01983177968239362
NOJ2KSCC,0.8314460748585136
ZD2JRUNB,0.43792619586987347
GZIPTSNN,0.06300741235700197
LCFYUVE9,0.8332357515077412
PPANVU9W,0.052232416593577455
DRPV9STB,0.0503000381459895
AFSPF3WZ,0.9936823016609274
GPXEUNND,0.8531890820098651
NSADMDSM,0.05920504613044533
CKWJU8RQ,0.5124018451458939
F7MNZSSU,0.05403726985104152
BDGVMPZY,0.530516565132119
IA3MSRTR,0.07533379677034156
JD3WTPMG,0.2767224944730435
QT6DF6EW,0.8277876522555275
NVDEMCZ2,0.05648787191028845
9B6UTJVT,0.06884653553147
U6QYES9J,0.01633930669920239
DZQPDSPS,0.15413666496627978
CRGXVSBF,0.860782023697372
XIHJYS2V,0.6176039394615261
7X2MC5GZ,0.8363366395296384
ZBDVXTM5,0.052232416593577455
UUBQPBR5,0.05752827775240566
CUMZFBTD,0.10040878018538713
E7QXYSQN,0.019858589652726886
6UQAJP48,0.06595126310754704
QHWB768Y,0.05270977409408071
R6RXMXOJ,0.17073002657013486
WXQGZG5K,0.033591124732705514
GCUFKLHG,0.06097020770529929
SJX4372M,0.052101443764109974
VGEAMUZZ,0.1001377090101003
ZWDXVKDF,0.8351050699088012
WGMRCYLR,0.053289271590739686
SI43K5CY,0.09410257943920892
DSNBS2RS,0.17092211649064584
XIMZCKSR,0.3394366677319213
VEW9FXHT,0.018891409312996117
JZJHDDDJ,0.4654589268880776
4TYUR5HA,0.40783690895732033
UHCDFDRX,0.2570965638676925
E5QMOFUM,0.10224634370934406
PSNVWDZH,0.055904747271497815
5IQSWONG,0.07116562673026075
CEAZEPY4,0.9935679949480952
2TNRJXRX,0.02575530823334953
BFROCARA,0.04832189997011412
GRTJMRKM,0.018634509264378936
6EDAM4EU,0.0854103360639349
NRDB58KL,0.06194752624467882
TCPJCWZR,0.04967479659386735
KG8LD2BE,0.03157757849814981
FHZ3XFDV,0.11547746441668379
NZKCSDZ4,0.21890802065727996
6DG6KJG4,0.05275008328094754
BVPKDUNU,0.3118504966647104
APR4PQ6X,0.03941218537621282
HPWS8YFG,0.10789445283461198
VRPBGTPU,0.058957770116928016
XBCSX7G7,0.04169531576073341
KEH3G8UA,0.15799459239981564
WXNAVFLT,0.04148478180726234
8J8NJ7M6,0.10343900101693254
D4UW7Y85,0.04757130982896364
SZRESXN7,0.05565449213764241
UUQSXK5T,0.059581490727634856
GPMUKOVY,0.38282760804972543
6FYOKAZ5,0.1339256107661306
ENUB4N9S,0.2234768958427559
KERBCSGE,0.9937498944641228
7HTA4C6J,0.834030314284155
4BTVMT6W,0.05110490023736871
MR3J9USD,0.27198504594243306
7S83FNQW,0.6039094911541008
